Student_ID,Student_Name,DOB,Student_Age,Student_Location,Institute_Name,Institute_City,Institute_State,Institute_sponsor,Institute_Affiliation,Program_Registered,Program_Session,Program_Type,Program_Sponsor,Student_Sponsor,Number_of_Adult_in_Family,Number_of_Child_in_Family,Monthly_income_of_each_Adult,Daily_number_of_meals,Weekly_protein_rich_meal_count,Drinking_water_source_at_home,Nearest_Health_Centre,Frequency_of_visiting_healthcentre,Healthcare_facilities
1,Celina Benoit,18-09-2000,24,St. David's,St. George's University,Hillsborough,St. John,Catholic Board,Association of Caribbean Tertiary Institutions,BSc Computer Science,2022-2026,Diploma,Government Fund,Parent,4,4,1935,3,2,Spring,St. David's Health Center,Monthly,Advanced
2,Rochelle Aberdeen,26-02-2006,18,Grenville,Grenada High School,Victoria,St. George,Catholic Board,Government of Grenada,BA English Literature,2021-2025,Certificate,Local Business,Self,1,5,840,4,0,Pipeline,Grenville Medical Center,Yearly,Advanced
3,Wesley Thomas,06-10-2007,17,St. George's,P.B.C.,Carriacou,St. George,Anglican Board,NA,BSc Computer Science,2023-2027,Certificate,Local Business,Parent,5,3,1602,3,4,Well,Victoria Medical Center,Never,Advanced
4,Isaac Pascall,27-11-2008,16,Hillsborough,Wesley College,Grenville,St. Patrick,Catholic Board,Caribbean Examinations Council,Associate in Culinary Arts,2022-2026,Diploma,NGO Fund,Self,1,3,2404,3,7,Bottled,Princess Royal Hospital,Never,Intermediate
5,Isaac Pope,23-10-2007,17,Grand Anse,Grenville Secondary,Grenville,St. Andrew,Private,Association of Caribbean Tertiary Institutions,Associate in Culinary Arts,2021-2025,Postgraduate,Private Donor,Self,5,5,2045,3,1,Pipeline,Sauteurs Health Clinic,Monthly,Basic
6,Adrian Aberdeen,17-03-2000,24,Morne Jaloux,Wesley College,Victoria,St. Andrew,Anglican Board,Caribbean Examinations Council,BSc Nursing,2022-2026,Certificate,NGO Fund,Self,1,2,2126,1,7,Bottled,Sauteurs Health Clinic,Monthly,Basic
7,Vanessa Isaac,19-06-2006,18,Hillsborough,St. Andrew's Secondary School,Grenville,Carriacou and Petite Martinique,Private,Association of Caribbean Tertiary Institutions,BA English Literature,2022-2026,Postgraduate,Government Fund,Self,3,3,1126,1,4,Pipeline,Princess Royal Hospital,Rarely,Basic
8,Brandon Pascall,09-04-2012,12,Hillsborough,St. Andrew's Secondary School,Gouyave,St. Mark,Anglican Board,University of the West Indies,Diploma in Agriculture,2022-2026,Diploma,Local Business,Parent,1,1,1483,2,3,Well,General Hospital,Monthly,Intermediate
9,Brandon Pascall,06-09-2006,18,Hillsborough,T.A. Marryshow Community College,Gouyave,St. George,Private,University of the West Indies,Certificate in Tourism,2024-2028,Postgraduate,Private Donor,Self,2,0,1028,1,6,Community standpipe,Gouyave Health Center,Rarely,Basic
10,Wesley James,20-02-2002,22,Hillsborough,St. George's University,Grenville,St. John,Anglican Board,Association of Caribbean Tertiary Institutions,BSc Nursing,2023-2027,Postgraduate,No Sponsor,Scholarship,4,5,1531,2,4,Pipeline,St. David's Health Center,Rarely,Intermediate
11,Kyle Johnson,25-02-2002,22,Sauteurs,St. Andrew's Secondary School,Carriacou,St. Patrick,Anglican Board,Government of Grenada,Certificate in Tourism,2021-2025,Diploma,No Sponsor,Scholarship,5,1,2021,1,5,Well,Sauteurs Health Clinic,Rarely,Intermediate
12,Janelle Charles,12-08-2011,13,Victoria,St. Andrew's Secondary School,Hillsborough,St. Andrew,Private,Association of Caribbean Tertiary Institutions,Diploma in Agriculture,2022-2026,Certificate,NGO Fund,Parent,2,3,2181,4,2,Well,Victoria Medical Center,Rarely,Intermediate
13,Nadia Benoit,16-04-2009,15,Gouyave,Wesley College,Sauteurs,St. Patrick,Private,Association of Caribbean Tertiary Institutions,Certificate in Tourism,2023-2027,Postgraduate,NGO Fund,Scholarship,1,3,2267,3,6,Spring,General Hospital,Monthly,Intermediate
14,Xavier James,21-08-2007,17,Grand Anse,St. George's University,Victoria,St. Andrew,Anglican Board,Caribbean Examinations Council,Diploma in Agriculture,2022-2026,Postgraduate,Government Fund,Self,5,2,1718,4,2,Well,General Hospital,Monthly,Basic
15,Sharon Aberdeen,27-02-2004,20,Victoria,P.B.C.,Victoria,St. Mark,Ministry of Education,NA,Associate in Culinary Arts,2022-2026,Certificate,NGO Fund,Scholarship,2,5,1212,1,5,Pipeline,Princess Alice Hospital,Monthly,Basic
16,Yannick James,17-08-2004,20,Grand Anse,Grenville Secondary,Sauteurs,St. Mark,Ministry of Education,University of the West Indies,BSc Computer Science,2021-2025,Undergraduate,Local Business,Parent,1,4,1135,4,3,Spring,General Hospital,Monthly,Intermediate
